time_stamp,vehicle_id,current_status,current_latitude,current_longitude,destination,platform_name,destination_latitude,destination_longitude,trip_name,stop_id,trip_id,sch_stop_id,sch_trip_id,actual_arrival_time,delay,scheduled_time
2023-10-03 08:34:05-04:00,7,IN_TRANSIT_TO,42.39762,-71.12732,Alewife,Red Line,42.39615631103516,-71.13996887207031,,70061,59095739,70061,59095739,2023-10-03 14:05:32.296273-04:00,2.2419841444615725,2023-10-03 08:35:00-04:00
2023-10-03 08:34:07-04:00,12,INCOMING_AT,42.39538,-71.11944,Davis,Alewife,42.3967399597168,-71.12181854248047,,70064,59095614,70064,59095614,2023-10-03 08:34:50-04:00,-3.1666666666666665,2023-10-03 08:38:00-04:00
2023-10-03 08:34:09-04:00,9,IN_TRANSIT_TO,42.37246,-71.11586,Harvard,Alewife,42.37336349487305,-71.11895751953125,,70068,59095638,70061,59095629,2023-10-03 15:59:21-04:00,2.2419841444615725,2023-10-03 11:58:41.522491392-04:00
2023-10-03 08:34:09-04:00,9,INCOMING_AT,42.37246,-71.11586,Harvard,Alewife,42.37336349487305,-71.11895751953125,,70068,59095638,70061,59095629,2023-10-03 15:59:21-04:00,2.2419841444615725,2023-10-03 11:58:41.522491392-04:00
2023-10-03 08:34:10-04:00,3,IN_TRANSIT_TO,42.30878,-71.05441,Fields Corner,Ashmont,42.299991607666016,-71.06201934814453,,70089,59095638,70061,59095629,2023-10-03 15:59:21-04:00,2.2419841444615725,2023-10-03 11:58:41.522491392-04:00
2023-10-03 08:34:10-04:00,6,STOPPED_AT,42.36122,-71.07162,Charles/MGH,Ashmont/Braintree,42.36118698120117,-71.07150268554688,,70073,59095799,70073,59095799,2023-10-03 08:34:10-04:00,5.166666666666667,2023-10-03 08:29:00-04:00
2023-10-03 08:34:12-04:00,4,IN_TRANSIT_TO,42.21293,-71.00081,Quincy Adams,Alewife,42.23339080810547,-71.00715637207031,,70104,59095638,70061,59095629,2023-10-03 15:59:21-04:00,2.2419841444615725,2023-10-03 11:58:41.522491392-04:00
2023-10-03 08:34:23-04:00,5,STOPPED_AT,42.25203,-71.00551,Quincy Center,Braintree,42.25180816650391,-71.00540924072266,,70101,59095797,70101,59095797,2023-10-03 08:34:23-04:00,-4.616666666666666,2023-10-03 08:39:00-04:00
2023-10-03 08:34:35-04:00,13,IN_TRANSIT_TO,42.3567,-71.0632,Charles/MGH,Alewife,42.36126327514648,-71.07160186767578,,70074,59095615,70074,59095615,2023-10-03 08:37:04-04:00,1.0666666666666667,2023-10-03 08:36:00-04:00
2023-10-03 08:34:39-04:00,2,IN_TRANSIT_TO,42.2773,-71.03159,JFK/UMass,Alewife (from Braintree),42.3204345703125,-71.05221557617188,,70096,59095638,70061,59095629,2023-10-03 15:59:21-04:00,2.2419841444615725,2023-10-03 11:58:41.522491392-04:00
2023-10-03 08:34:40-04:00,14,IN_TRANSIT_TO,42.30029,-71.05826,Savin Hill,Alewife,42.31059265136719,-71.0536117553711,,70088,59095616,70088,59095616,2023-10-03 08:36:40-04:00,4.666666666666667,2023-10-03 08:32:00-04:00
2023-10-03 08:34:42-04:00,8,STOPPED_AT,42.39618,-71.14054,Alewife,Track 2,42.39615631103516,-71.13996887207031,,Alewife-02,59095677,70061,59095629,2023-10-03 15:59:21-04:00,2.2419841444615725,2023-10-03 11:58:41.522491392-04:00
2023-10-03 08:34:42-04:00,0,IN_TRANSIT_TO,42.32915,-71.05668,JFK/UMass,Braintree,42.32041931152344,-71.05228424072266,,70095,59095798,70095,59095798,2023-10-03 08:38:46-04:00,4.766666666666667,2023-10-03 08:34:00-04:00
2023-10-03 08:34:47-04:00,11,IN_TRANSIT_TO,42.39202,-71.11925,Porter,Ashmont/Braintree,42.38840103149414,-71.11914825439453,,70065,59095800,70065,59095800,2023-10-03 08:36:24-04:00,5.4,2023-10-03 08:31:00-04:00
2023-10-03 08:34:47-04:00,13,IN_TRANSIT_TO,42.35725,-71.06404,Charles/MGH,Alewife,42.36126327514648,-71.07160186767578,,70074,59095615,70074,59095615,2023-10-03 08:37:04-04:00,1.0666666666666667,2023-10-03 08:36:00-04:00
2023-10-03 08:34:47-04:00,11,INCOMING_AT,42.39202,-71.11925,Porter,Ashmont/Braintree,42.38840103149414,-71.11914825439453,,70065,59095800,70065,59095800,2023-10-03 08:36:24-04:00,5.4,2023-10-03 08:31:00-04:00
2023-10-03 08:34:50-04:00,12,STOPPED_AT,42.39676,-71.12241,Davis,Alewife,42.3967399597168,-71.12181854248047,,70064,59095614,70064,59095614,2023-10-03 08:34:50-04:00,-3.1666666666666665,2023-10-03 08:38:00-04:00
2023-10-03 08:34:57-04:00,13,INCOMING_AT,42.35792,-71.06548,Charles/MGH,Alewife,42.36126327514648,-71.07160186767578,,70074,59095615,70074,59095615,2023-10-03 08:37:04-04:00,1.0666666666666667,2023-10-03 08:36:00-04:00
